code;title;short_title;region;group;chord1;popul2021;nodetype;capital;lat;lon;worldmap
1114;Белгородская область;Белгородская;Центральный ФО;Центральный ФО;Центральный ФО;1540486;ruregion;г. Белгород;50.6;36.6;Белгородская обл.
1115;Брянская область;Брянская;Центральный ФО;Центральный ФО;Центральный ФО;1169161;ruregion;г. Брянск;53.25;34.366667;Брянская обл.
1117;Владимирская область;Владимирская;Центральный ФО;Центральный ФО;Центральный ФО;1348134;ruregion;г. Владимир;56.133333;40.416667;Владимирская обл.
1120;Воронежская область;Воронежская;Центральный ФО;Центральный ФО;Центральный ФО;2308792;ruregion;г. Воронеж;51.671667;39.210556;Воронежская обл.
1124;Ивановская область ;Ивановская;Центральный ФО;Центральный ФО;Центральный ФО;927828;ruregion;г. Иваново;56.996667;40.981944;Ивановская обл.
1129;Калужская область;Калужская;Центральный ФО;Центральный ФО;Центральный ФО;1069904;ruregion;г. Калуга;54.533333;36.266667;Калужская обл.
1134;Костромская область ;Костромская;Центральный ФО;Центральный ФО;Центральный ФО;580976;ruregion;г. Кострома;57.766667;40.933333;Костромская обл.
1138;Курская область;Курская;Центральный ФО;Центральный ФО;Центральный ФО;1082458;ruregion;г. Курск;51.716667;36.183333;Курская обл.
1142;Липецкая область;Липецкая;Центральный ФО;Центральный ФО;Центральный ФО;1143224;ruregion;г. Липецк;52.616667;39.6;Липецкая обл.
1146;Московская область;Московская;Центральный ФО;Москва и МО;Москва и МО;8524665;ruregion;Красногорск;55.81666;37.333333;Московская обл.
1154;Орловская область;Орловская;Центральный ФО;Центральный ФО;Центральный ФО;713374;ruregion;г. Орел;52.966667;36.083333;Орловская обл.
1161;Рязанская область;Рязанская;Центральный ФО;Центральный ФО;Центральный ФО;1102810;ruregion;г. Рязань;54.616667;39.716667;Рязанская обл.
1166;Смоленская область;Смоленская;Центральный ФО;Центральный ФО;Центральный ФО;888421;ruregion;г. Смоленск;54.782778;32.045278;Смоленская обл.
1168;Тамбовская область;Тамбовская;Центральный ФО;Центральный ФО;Центральный ФО;982991;ruregion;г. Тамбов;52.716667;41.433333;Тамбовская обл.
1128;Тверская область;Тверская;Центральный ФО;Центральный ФО;Центральный ФО;1230171;ruregion;г. Тверь;56.857828;35.921928;Тверская обл.
1170;Тульская область;Тульская;Центральный ФО;Центральный ФО;Центральный ФО;1501214;ruregion;г. Тула;54.2;37.616667;Тульская обл.
1178;Ярославская область;Ярославская;Центральный ФО;Центральный ФО;Центральный ФО;1209811;ruregion;г. Ярославль;57.616667;39.85;Ярославская обл.
1145;г. Москва;Москва;Центральный ФО;Москва и МО;Москва и МО;13010112;ruregion;г. Москва;55.755833;37.617778;г. Москва
1186;Республика Карелия;Карелия;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;533121;ruregion;г. Петрозаводск;61.796111;34.349167;Республика Карелия
1187;Республика Коми;Коми;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;737853;ruregion;г. Сыктывкар;61.666667;50.816667;Республика Коми
111;Ненецкий автономный округ;НАО;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;41434;ruregion;г. Нарьян-Мар;67.637778;53.006667;Ненецкий АО
211;Архангельская область (без АО);Архангельская;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;978873;ruregion;г. Архангельск;64.55;40.533333;Архангельская обл.
1119;Вологодская область;Вологодская;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;1142827;ruregion;г. Вологда;59.216667;39.9;Вологодская обл.
1127;Калининградская область;Калининградская;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;1029966;ruregion;г. Калининград;54.716667;20.5;Калининградская обл.
1141;Ленинградская область;Ленинградская;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;2000997;ruregion;г. Гатчина;59.56841;30.122892;Ленинградская обл.
1147;Мурманская область;Мурманская;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;667744;ruregion;г. Мурманск;68.966667;33.083333;Мурманская обл.
1149;Новгородская область;Новгородская;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;583387;ruregion;г. Новгород;58.525;31.275;Новгородская обл.
1158;Псковская область;Псковская;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;599084;ruregion;г. Псков;57.816667;28.333333;Псковская обл.
1140;г. Санкт-Петербург;СПб;Северо-Западный ФО;Северо-Западный ФО;Северо-Западный ФО;5601911;ruregion;г. Санкт-Петербург;59.95;30.316667;г. Санкт-Петербург
1179;Республика Адыгея;Адыгея;Южный ФО;Южный ФО;Южный ФО;496934;ruregion;г. Майкоп;44.611;40.111;Республика Адыгея (Адыгея)
1185;Республика Калмыкия;Калмыкия;Южный ФО;Южный ФО;Южный ФО;267133;ruregion;г. Элиста;46.316667;44.266667;Республика Калмыкия
1135;Республика Крым;Крым;Южный ФО;Южный ФО;Южный ФО;1934630;ruregion;г. Симферополь;44.948056;34.104167;Республика Крым
1103;Краснодарский край;Краснодарский;Южный ФО;Южный ФО;Южный ФО;5838273;ruregion;г. Краснодар;45.033333;38.983333;Краснодарский край
1112;Астраханская область;Астраханская;Южный ФО;Южный ФО;Южный ФО;960142;ruregion;г. Астрахань;46.333333;48.033333;Астраханская обл.
1118;Волгоградская область;Волгоградская;Южный ФО;Южный ФО;Южный ФО;2500781;ruregion;г. Волгоград;48.711667;44.513889;Волгоградская обл.
1160;Ростовская область;Ростовская;Южный ФО;Южный ФО;Южный ФО;4200729;ruregion;г. Ростов-на-Дону;47.240556;39.710556;Ростовская обл.
1167;г. Севастополь;Севастополь;Южный ФО;Южный ФО;Южный ФО;547820;ruregion;г. Севастополь;44.6;33.533333;город федерального значения Севастополь
1182;Республика Дагестан;Дагестан;Северо-Кавказский ФО;Северо-Кавказский ФО;Южный ФО;3182054;ruregion;г. Махачкала;42.983333;47.5;Республика Дагестан
1126;Республика Ингушетия;Ингушетия;Северо-Кавказский ФО;Северо-Кавказский ФО;Южный ФО;509541;ruregion;г. Магас;43.166667;44.816667;Республика Ингушетия
1183;Кабардино-Балкарская Республика;КБР;Северо-Кавказский ФО;Северо-Кавказский ФО;Южный ФО;904200;ruregion;г. Нальчик;43.485259;43.607072;Кабардино-Балкарская Республика
1191;Карачаево-Черкесская Республика;КЧР;Северо-Кавказский ФО;Северо-Кавказский ФО;Южный ФО;469865;ruregion;г. Черкесск;44.213888;42.04431;Карачаево-Черкесская Республика
1190;Республика Северная Осетия - Алания;Северная Осетия;Северо-Кавказский ФО;Северо-Кавказский ФО;Южный ФО;687357;ruregion;г. Владикавказ;43.01667;44.683315;Республика Северная Осетия - Алания
1196;Чеченская Республика;Чеченская;Северо-Кавказский ФО;Северо-Кавказский ФО;Южный ФО;1510824;ruregion;г. Грозный;43.316667;45.7;Чеченская Республика
1107;Ставропольский край;Ставрополь;Северо-Кавказский ФО;Северо-Кавказский ФО;Южный ФО;2907593;ruregion;г. Ставрополь;45.033333;41.966667;Ставропольский край
